"time","Tmax","Tmin","Tavg","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","AvgSpeed","SiteID","Ozone","units","Lat","Long"
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0416",0.018,"ppm",29.686389,-95.294722
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-039-1004",0.021,"ppm",29.520443,-95.392509
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0051",0.02,"ppm",29.623611,-95.473611
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-1039",0.019,"ppm",29.670025,-95.128508
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-039-1016",0.02,"ppm",29.043759,-95.472946
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0070",0.019,"ppm",29.735129,-95.315583
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-167-1034",0.02,"ppm",29.254474,-94.861289
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-1015",0.02,"ppm",29.761653,-95.081386
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-339-0078",0.019,"ppm",30.350302,-95.425128
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0075",0.017,"ppm",29.752778,-95.350278
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0046",0.019,"ppm",29.828086,-95.284096
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0026",0.028,"ppm",29.802707,-95.125495
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0024",0.026,"ppm",29.901037,-95.326125
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0062",0.019,"ppm",29.625833,-95.2675
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-039-1004",0.025,"ppm",29.520443,-95.392509
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0051",0.025,"ppm",29.623611,-95.473611
