"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/22/2011","48-039-1004","1","0.04600","ppm","39.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/23/2011","48-039-1004","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/24/2011","48-039-1004","1","0.06000","ppm","51.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/25/2011","48-039-1004","1","0.03100","ppm","26.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/26/2011","48-039-1004","1","0.03500","ppm","30.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/27/2011","48-039-1004","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/28/2011","48-039-1004","1","0.03200","ppm","27.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/29/2011","48-039-1004","1","0.02600","ppm","22.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/30/2011","48-039-1004","1","0.03700","ppm","31.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/31/2011","48-039-1004","1","0.06200","ppm","58.00","19","79.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/01/2011","48-039-1004","1","0.05400","ppm","46.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/02/2011","48-039-1004","1","0.04000","ppm","34.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/03/2011","48-039-1004","1","0.03100","ppm","26.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/04/2011","48-039-1004","1","0.05200","ppm","44.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/05/2011","48-039-1004","1","0.06800","ppm","77.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/06/2011","48-039-1004","1","0.05700","ppm","48.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
